START -> tcas2.c:54
tcas2.c:54 -> tcas2.c:64
tcas2.c:64 -> tcas2.c:65
tcas2.c:65 -> tcas2.c:66
tcas2.c:66 -> tcas2.c:67
tcas2.c:67 -> tcas2.c:69
tcas2.c:69 -> ./stdlib/atoi.c:26
./stdlib/atoi.c:26 -> ./stdlib/atoi.c:27
./stdlib/atoi.c:27 -> ./stdlib/atoi.c:26
./stdlib/atoi.c:26 -> ./stdlib/atoi.c:27
./stdlib/atoi.c:27 -> ../stdlib/strtol.c:125
../stdlib/strtol.c:125 -> ../stdlib/strtol.c:126
../stdlib/strtol.c:126 -> ../stdlib/strtol_l.c:238
../stdlib/strtol_l.c:238 -> ../stdlib/strtol_l.c:252
../stdlib/strtol_l.c:252 -> ../stdlib/strtol_l.c:292
../stdlib/strtol_l.c:292 -> ../stdlib/strtol_l.c:238
../stdlib/strtol_l.c:238 -> ../stdlib/strtol_l.c:257
../stdlib/strtol_l.c:257 -> ../stdlib/strtol_l.c:238
../stdlib/strtol_l.c:238 -> ../stdlib/strtol_l.c:252
../stdlib/strtol_l.c:252 -> ../stdlib/strtol_l.c:264
../stdlib/strtol_l.c:264 -> ../stdlib/strtol_l.c:238
../stdlib/strtol_l.c:238 -> ../stdlib/strtol_l.c:264
../stdlib/strtol_l.c:264 -> ../stdlib/strtol_l.c:295
../stdlib/strtol_l.c:295 -> ../stdlib/strtol_l.c:304
../stdlib/strtol_l.c:304 -> ../stdlib/strtol_l.c:306
../stdlib/strtol_l.c:306 -> ../stdlib/strtol_l.c:311
../stdlib/strtol_l.c:311 -> ../stdlib/strtol_l.c:316
../stdlib/strtol_l.c:316 -> ../stdlib/strtol_l.c:320
../stdlib/strtol_l.c:320 -> ../stdlib/strtol_l.c:322
../stdlib/strtol_l.c:322 -> ../stdlib/strtol_l.c:327
../stdlib/strtol_l.c:327 -> ../stdlib/strtol_l.c:342
../stdlib/strtol_l.c:342 -> ../stdlib/strtol_l.c:345
../stdlib/strtol_l.c:345 -> ../stdlib/strtol_l.c:258
../stdlib/strtol_l.c:258 -> ../stdlib/strtol_l.c:395
../stdlib/strtol_l.c:395 -> ../stdlib/strtol_l.c:451
../stdlib/strtol_l.c:451 -> ../stdlib/strtol_l.c:477
../stdlib/strtol_l.c:477 -> ../stdlib/strtol_l.c:478
../stdlib/strtol_l.c:478 -> ../stdlib/strtol_l.c:394
../stdlib/strtol_l.c:394 -> ../stdlib/strtol_l.c:393
../stdlib/strtol_l.c:393 -> ../stdlib/strtol_l.c:489
../stdlib/strtol_l.c:489 -> ../stdlib/strtol_l.c:453
../stdlib/strtol_l.c:453 -> ../stdlib/strtol_l.c:481
../stdlib/strtol_l.c:481 -> ../stdlib/strtol_l.c:484
../stdlib/strtol_l.c:484 -> ../stdlib/strtol_l.c:489
../stdlib/strtol_l.c:489 -> ../stdlib/strtol_l.c:490
../stdlib/strtol_l.c:490 -> ../stdlib/strtol_l.c:449
../stdlib/strtol_l.c:449 -> ../stdlib/strtol_l.c:451
../stdlib/strtol_l.c:451 -> ../stdlib/strtol_l.c:495
../stdlib/strtol_l.c:495 -> ../stdlib/strtol_l.c:500
../stdlib/strtol_l.c:500 -> ../stdlib/strtol_l.c:506
../stdlib/strtol_l.c:506 -> ../stdlib/strtol_l.c:509
../stdlib/strtol_l.c:509 -> ../stdlib/strtol_l.c:524
../stdlib/strtol_l.c:524 -> ../stdlib/strtol_l.c:509
